 INFO  Accepting connections at http://localhost:5050
 HTTP  8/12/2025 6:15:43 AM ::1 Returned 200 in 7 ms
 HTTP  8/12/2025 6:15:43 AM ::1 Returned 200 in 10 ms
 HTTP  8/12/2025 6:15:43 AM ::1 Returned 200 in 9 ms
 HTTP  8/12/2025 6:15:43 AM ::1 Returned 304 in 10 ms
 HTTP  8/12/2025 6:15:43 AM ::1 Returned 304 in 10 ms
 HTTP  8/12/2025 6:15:43 AM ::1 GET /_next/static/chunks/app/page-050a284b3cd8f2cf.js
 HTTP  8/12/2025 6:15:43 AM ::1 Returned 200 in 1 ms
 HTTP  8/12/2025 6:15:43 AM ::1 GET /favicon.ico
 HTTP  8/12/2025 6:15:43 AM ::1 Returned 200 in 1 ms
 HTTP  8/12/2025 6:15:51 AM ::1 GET /
 HTTP  8/12/2025 6:15:51 AM ::1 Returned 304 in 1 ms
 HTTP  8/12/2025 6:15:51 AM ::1 GET /_next/static/media/e4af272ccee01ff0-s.p.woff2
 HTTP  8/12/2025 6:15:51 AM ::1 GET /_next/static/css/1c36b241b8cb2ec2.css
 HTTP  8/12/2025 6:15:51 AM ::1 Returned 304 in 4 ms
 HTTP  8/12/2025 6:15:51 AM ::1 Returned 304 in 4 ms
 HTTP  8/12/2025 6:15:51 AM ::1 GET /_next/static/chunks/fd9d1056-9460a96b566cd381.js
 HTTP  8/12/2025 6:15:51 AM ::1 GET /_next/static/chunks/864-3eb9302f43f2f25b.js
 HTTP  8/12/2025 6:15:51 AM ::1 Returned 304 in 1 ms
 HTTP  8/12/2025 6:15:51 AM ::1 Returned 304 in 0 ms
 HTTP  8/12/2025 6:15:51 AM ::1 GET /_next/static/chunks/main-app-421d4053965075b8.js
 HTTP  8/12/2025 6:15:51 AM ::1 Returned 304 in 8 ms
 HTTP  8/12/2025 6:15:51 AM ::1 GET /_next/static/chunks/webpack-249e14dbf0905a64.js
 HTTP  8/12/2025 6:15:51 AM ::1 Returned 304 in 0 ms
 HTTP  8/12/2025 6:15:51 AM ::1 GET /_next/static/chunks/499-26fed873b3db4904.js
 HTTP  8/12/2025 6:15:51 AM ::1 GET /_next/static/chunks/71-ffc6d65bc2457ade.js
 HTTP  8/12/2025 6:15:51 AM ::1 GET /_next/static/chunks/app/layout-f156450e859848da.js
 HTTP  8/12/2025 6:15:51 AM ::1 GET /_next/static/chunks/app/page-050a284b3cd8f2cf.js
 HTTP  8/12/2025 6:15:51 AM ::1 Returned 304 in 4 ms
 HTTP  8/12/2025 6:15:51 AM ::1 Returned 304 in 2 ms
 HTTP  8/12/2025 6:15:51 AM ::1 Returned 304 in 1 ms
 HTTP  8/12/2025 6:15:51 AM ::1 Returned 304 in 2 ms
 HTTP  8/12/2025 6:15:51 AM ::1 GET /favicon.ico
 HTTP  8/12/2025 6:15:51 AM ::1 Returned 304 in 1 ms
 HTTP  8/12/2025 6:15:54 AM ::1 GET /
 HTTP  8/12/2025 6:15:54 AM ::1 Returned 304 in 1 ms
 HTTP  8/12/2025 6:15:54 AM ::1 GET /_next/static/media/e4af272ccee01ff0-s.p.woff2
 HTTP  8/12/2025 6:15:54 AM ::1 GET /_next/static/css/1c36b241b8cb2ec2.css
 HTTP  8/12/2025 6:15:54 AM ::1 Returned 304 in 4 ms
 HTTP  8/12/2025 6:15:54 AM ::1 Returned 304 in 1 ms
 HTTP  8/12/2025 6:15:54 AM ::1 GET /_next/static/chunks/main-app-421d4053965075b8.js
 HTTP  8/12/2025 6:15:54 AM ::1 GET /_next/static/chunks/webpack-249e14dbf0905a64.js
 HTTP  8/12/2025 6:15:54 AM ::1 Returned 304 in 1 ms
 HTTP  8/12/2025 6:15:54 AM ::1 GET /_next/static/chunks/fd9d1056-9460a96b566cd381.js
 HTTP  8/12/2025 6:15:54 AM ::1 Returned 304 in 7 ms
 HTTP  8/12/2025 6:15:54 AM ::1 GET /_next/static/chunks/864-3eb9302f43f2f25b.js
 HTTP  8/12/2025 6:15:54 AM ::1 Returned 304 in 1 ms
 HTTP  8/12/2025 6:15:54 AM ::1 Returned 304 in 1 ms
 HTTP  8/12/2025 6:15:54 AM ::1 GET /_next/static/chunks/499-26fed873b3db4904.js
 HTTP  8/12/2025 6:15:54 AM ::1 GET /_next/static/chunks/71-ffc6d65bc2457ade.js
 HTTP  8/12/2025 6:15:54 AM ::1 GET /_next/static/chunks/app/layout-f156450e859848da.js
 HTTP  8/12/2025 6:15:54 AM ::1 GET /_next/static/chunks/app/page-050a284b3cd8f2cf.js
 HTTP  8/12/2025 6:15:54 AM ::1 Returned 304 in 1 ms
 HTTP  8/12/2025 6:15:54 AM ::1 Returned 304 in 0 ms
 HTTP  8/12/2025 6:15:54 AM ::1 Returned 304 in 0 ms
 HTTP  8/12/2025 6:15:54 AM ::1 Returned 304 in 1 ms
 HTTP  8/12/2025 6:15:54 AM ::1 GET /favicon.ico
 HTTP  8/12/2025 6:15:54 AM ::1 Returned 304 in 24 ms
 HTTP  8/12/2025 6:15:57 AM ::1 GET /images/founder.jpg
 HTTP  8/12/2025 6:15:57 AM ::1 GET /images/marketer.jpg
 HTTP  8/12/2025 6:15:57 AM ::1 GET /images/consultant.jpg
 HTTP  8/12/2025 6:15:57 AM ::1 Returned 304 in 2 ms
 HTTP  8/12/2025 6:15:57 AM ::1 Returned 304 in 1 ms
 HTTP  8/12/2025 6:15:57 AM ::1 Returned 304 in 1 ms
 HTTP  8/12/2025 6:16:04 AM ::1 GET /
 HTTP  8/12/2025 6:16:04 AM ::1 Returned 304 in 1 ms
 HTTP  8/12/2025 6:16:04 AM ::1 GET /_next/static/media/e4af272ccee01ff0-s.p.woff2
 HTTP  8/12/2025 6:16:04 AM ::1 GET /_next/static/css/1c36b241b8cb2ec2.css
 HTTP  8/12/2025 6:16:04 AM ::1 Returned 304 in 2 ms
 HTTP  8/12/2025 6:16:04 AM ::1 Returned 304 in 7 ms
 HTTP  8/12/2025 6:16:04 AM ::1 GET /_next/static/chunks/webpack-249e14dbf0905a64.js
 HTTP  8/12/2025 6:16:04 AM ::1 Returned 304 in 1 ms
 HTTP  8/12/2025 6:16:04 AM ::1 GET /_next/static/chunks/fd9d1056-9460a96b566cd381.js
 HTTP  8/12/2025 6:16:04 AM ::1 GET /_next/static/chunks/864-3eb9302f43f2f25b.js
